Category,Sunlight Level,Water Level,Watering Duration,Sunlight Duration,Nutrients,Ultrasonic Values
monitoring sunlight,73.12672840665769,69.58000235772613,118,205,"[0.23340953375574292, 9.208963884202282, 0.5208948432640381, 8.760460999920282, 9.71921525179882]","[91, 27, 71, 74, 76]"
monitoring water level,52.12091150385352,23.10234830078821,17,54,"[6.34506530392528, 8.462327946859517, 8.421948769049806, 7.557566423196799, 8.45114181986952]","[94, 68, 67, 51, 68]"
monitoring watering duration,19.695159367605964,38.45547195363768,100,71,"[9.376690454522377, 6.000579254364399, 1.3199853543706253, 1.5635607723896205, 7.997660194013486]","[55, 90, 11, 61, 61]"
monitoring sunlight duration,73.79066926060328,78.48458924832065,277,123,"[2.4780061346810656, 2.7095006230050735, 8.758399416820783, 0.20133150428221613, 0.7176275865949877]","[46, 98, 62, 58, 68]"
monitoring nutrients,33.0595291573665,65.72870938790084,160,60,"[6.809607568032132, 6.014844361574693, 8.702272868826672, 8.54852293598245, 1.5320190701107028]","[73, 16, 67, 16, 58]"
general monitoring,75.74325393966929,12.454225277969332,52,258,"[7.465452421136196, 7.459604561435501, 4.28747163631334, 4.354395265605547, 8.328306136404565]","[95, 17, 69, 15, 29]"
general monitoring,45.544188978666746,4.4193131414309805,139,31,"[9.522722850488318, 4.233327922367417, 7.162754949816899, 5.459772433410234, 5.1151203203965245]","[86, 48, 13, 48, 14]"
general monitoring,54.332980255952435,18.456367812086892,210,68,"[3.563924185706162, 3.5023301585377986, 3.316117766895924, 1.0281706862956885, 3.764101353198459]","[86, 78, 48, 15, 39]"
general monitoring,11.457006708102535,25.997012057222037,155,116,"[3.025867453098808, 1.053725966794783, 5.00798101993717, 2.3922728305499428, 1.7572941921191054]","[85, 45, 35, 77, 86]"
general monitoring,39.549895322054475,82.1716428006401,188,114,"[0.9975351990656989, 1.2164796395760702, 2.8310345565883477, 0.08168839821043883, 0.44111140324933795]","[93, 23, 36, 60, 28]"
monitoring sunlight,72.1628031176547,42.58383740703658,180,48,"[3.854934182281701, 4.404703743854511, 3.0618277184360365, 5.497066720069598, 1.7772019176988862]","[36, 28, 92, 38, 20]"
monitoring water level,16.20984673399476,74.9494366409934,234,165,"[8.611250698605277, 1.2805943114557294, 8.910919057017528, 7.030636837169507, 9.3484795540648]","[45, 17, 41, 43, 54]"
monitoring watering duration,56.422875712205155,6.50526531062543,127,246,"[7.718641005573643, 7.045750320424701, 3.5438492879646732, 7.816763936370295, 0.5787924840925729]","[42, 18, 49, 29, 78]"
monitoring sunlight duration,51.91545500263482,6.236780868555214,66,123,"[9.952250515793418, 9.372040488916753, 2.5740853589732304, 4.606646312223606, 8.86985188190949]","[88, 73, 20, 26, 31]"
monitoring nutrients,98.74728274793,27.089080251607434,145,90,"[3.360641535256532, 4.217025771506502, 8.489555544650054, 7.6372957203899485, 6.201815092381083]","[31, 10, 93, 39, 90]"
general monitoring,47.003190407296394,79.2287559735429,229,272,"[8.966142774005233, 5.294250420989854, 6.362544810758434, 8.975994374243125, 4.96051400596516]","[18, 28, 48, 59, 46]"
general monitoring,65.79881668201986,71.857476437997,91,220,"[3.9110839512620785, 0.5039179910940217, 9.487674956370753, 1.0761271138151585, 5.649697426184983]","[49, 92, 50, 77, 53]"
general monitoring,8.254932633804513,98.81474534180062,111,179,"[2.6827788566054664, 7.9354383582283425, 0.3711519856113621, 9.022933918873925, 8.06028169643821]","[20, 92, 86, 90, 82]"
general monitoring,32.49530864834064,38.30947697119789,125,248,"[9.263267926036315, 6.69768842357357, 0.9632692946758403, 7.767016454573449, 5.9836233303099196]","[100, 79, 91, 72, 46]"
general monitoring,48.81298061793845,33.10017567636967,209,148,"[9.339010999691219, 0.8801835887856047, 9.920962810702845, 0.6248600613595234, 5.6895960466437545]","[11, 66, 89, 41, 19]"
monitoring sunlight,80.85781340274752,17.015448365288833,159,97,"[3.4743085976972643, 1.3582739193512894, 6.560977648682567, 0.5488576248133437, 5.782416223771422]","[80, 64, 98, 83, 76]"
monitoring water level,61.25741381587735,24.170176397571595,209,136,"[7.819614701969034, 5.858810898659924, 5.077176014315619, 1.7822278048426932, 5.845172553549633]","[87, 73, 92, 24, 25]"
monitoring watering duration,15.356476309668166,33.86892280236252,67,173,"[4.983921222376198, 3.9012140534687845, 4.893907162290732, 6.852317814188459, 4.608335456011834]","[46, 46, 10, 82, 77]"
monitoring sunlight duration,63.20316980786217,64.63894955831748,21,231,"[3.90601597729898, 8.19539946546673, 4.73037818218247, 4.05615084491172, 4.40852584529368]","[24, 76, 56, 43, 90]"
monitoring nutrients,19.266835129913684,44.844548847152765,32,14,"[2.7762258819717403, 6.50035148413053, 0.5729224279259981, 3.0761612426896834, 3.5026524578203566]","[47, 63, 34, 79, 41]"
general monitoring,21.47051177173529,23.685118192408684,248,149,"[1.6732320934658595, 3.047246579771813, 1.0789892311950722, 6.139212660540175, 6.520836010336778]","[51, 78, 85, 22, 35]"
general monitoring,33.6648453350421,72.34787328285614,164,279,"[0.698573304967044, 3.7052310677385467, 4.042254727032374, 1.2368204420120998, 6.643558503200447]","[23, 23, 67, 25, 62]"
general monitoring,50.805211246063976,93.97801539191887,296,265,"[8.108441031668074, 6.175069585358292, 9.272662492057677, 0.5560564763538944, 2.0092499723166126]","[54, 19, 88, 21, 16]"
general monitoring,10.208954448039654,50.88582258527104,156,197,"[1.4362836118162503, 1.9069303460847775, 4.917550997812508, 0.6411244857133958, 0.13202989187713565]","[98, 12, 22, 86, 28]"
general monitoring,47.61422605777944,65.30930601828881,262,125,"[1.442444886744696, 9.484300218795056, 7.686159811133298, 9.843470287429945, 5.079084694155452]","[83, 23, 97, 26, 29]"
monitoring sunlight,30.102352181513837,47.76728416435523,207,90,"[9.705679569269627, 6.830534298310012, 9.938912226115026, 8.1401108649643, 9.896710281625154]","[22, 81, 65, 80, 94]"
monitoring water level,9.575121128116471,95.19249379014451,285,233,"[8.871989546928932, 6.138522695174787, 1.8242852661327924, 8.059723977537686, 1.6968831634778347]","[41, 38, 74, 40, 17]"
monitoring watering duration,99.79559237803946,8.461234991459254,151,167,"[7.0801122616357866, 3.4453359591606167, 3.4036183709421186, 3.486729376245663, 9.580036185487682]","[50, 26, 97, 13, 45]"
monitoring sunlight duration,29.554124510516477,91.55282768202217,45,249,"[5.025168776867519, 7.444683770243781, 3.25212504243665, 9.254832125417746, 7.379307655808306]","[89, 43, 90, 78, 79]"
monitoring nutrients,65.01318353459314,37.53753871060205,293,193,"[6.480371367574755, 1.7086079716783176, 9.468377348690959, 9.553947434756845, 8.446473829454588]","[61, 45, 28, 95, 51]"
general monitoring,62.594590163520266,22.02606373614887,289,147,"[0.7999009479473806, 0.740340643854368, 0.7554205525136659, 0.9981669368647439, 0.5828367363266751]","[53, 44, 83, 88, 82]"
general monitoring,65.32299706221012,53.1558169255148,165,118,"[5.676448961974763, 5.802922197395052, 8.488017767956071, 3.3622953545917413, 3.5334521186037904]","[14, 97, 42, 35, 39]"
general monitoring,94.09451373569898,26.123363047322922,211,38,"[2.72874598895645, 6.290634848605735, 2.3592995574232836, 8.896751673865971, 0.7127241524726258]","[79, 13, 58, 30, 87]"
general monitoring,59.13627859975943,81.94611392167717,222,52,"[2.1729359347619326, 7.484203362033695, 9.975118431590403, 2.2735894203858207, 9.717500250325637]","[36, 68, 25, 53, 56]"
general monitoring,57.33937108516489,55.19702255083634,160,255,"[8.059189921017385, 3.4192942770329826, 0.5657276651903542, 8.074888048717854, 2.51383446515283]","[11, 91, 98, 80, 48]"
monitoring sunlight,61.056484369133734,37.42612115958014,258,103,"[8.372691789521637, 4.82239870592331, 7.479697188017999, 1.2556090769468786, 3.5701081658094234]","[40, 17, 33, 17, 88]"
monitoring water level,20.065899429694678,72.46408988387937,231,25,"[4.395911999270265, 0.11642164779874231, 6.382423852404519, 7.062448278539132, 3.972406150793366]","[26, 79, 37, 81, 87]"
monitoring watering duration,4.752313054037893,59.54679765016441,179,103,"[2.0033386287453645, 9.527911199056668, 3.4312190911666605, 1.1932974651046524, 2.4705490776001513]","[38, 68, 40, 66, 95]"
monitoring sunlight duration,95.62026435913334,67.73665803285694,77,118,"[8.715820312664633, 5.548318496398991, 5.698415687433993, 2.1833792358321835, 2.7834304515203865]","[56, 81, 85, 78, 80]"
monitoring nutrients,36.21113697063287,63.02957341913306,280,157,"[0.6956300790648684, 3.7842473446197378, 3.0661576004109623, 0.930937527856105, 8.43216317787514]","[63, 10, 20, 36, 95]"
general monitoring,51.452795685717675,40.914265414950236,37,81,"[7.137900750904108, 4.918805146695889, 0.25011649870921193, 9.887736059860769, 9.170275347030003]","[62, 79, 15, 14, 99]"
general monitoring,83.52831133187273,72.48360226871561,193,109,"[0.2097765852852429, 2.411735076722782, 9.00250379960298, 9.033595462513613, 1.4929751268606095]","[16, 88, 91, 62, 28]"
general monitoring,54.65153896101673,72.86295617934897,222,202,"[3.2718522847270926, 0.24322317677685001, 8.99082070017389, 1.0434775245899552, 4.325828631133822]","[27, 85, 21, 31, 67]"
general monitoring,65.60454653612707,30.97087731810332,162,40,"[8.335404353137317, 8.008110745908802, 8.209521193855121, 9.974341615504175, 1.948175423259788]","[94, 42, 49, 12, 81]"
general monitoring,41.86841479509208,33.99751608365471,284,288,"[8.103052487508828, 8.937147502488706, 2.1259349611855747, 5.081024947085247, 5.771379363352519]","[69, 50, 98, 84, 72]"
monitoring sunlight,72.62737379575887,40.23526699227721,174,252,"[2.1457400536072835, 1.252477798025744, 8.501208644634934, 0.6528082772516597, 5.894148320624453]","[65, 56, 22, 33, 19]"
monitoring water level,65.83554830754869,43.717277405963,109,224,"[1.0009570207886176, 6.601250267480534, 2.3634460275111335, 3.27691207864416, 2.557265806334984]","[94, 85, 14, 72, 28]"
monitoring watering duration,99.92634057032951,37.946079564490354,220,290,"[3.0485429033657785, 1.663018038629418, 6.615894355335983, 4.1550863044972015, 2.2610683927286446]","[37, 54, 97, 77, 68]"
monitoring sunlight duration,32.2425263423676,11.773936389152428,198,253,"[1.1045499459639385, 5.067774624431307, 2.3791339946276455, 1.9345636101787334, 6.911017059004328]","[42, 72, 97, 17, 55]"
monitoring nutrients,98.42028812504776,12.237014541950842,86,289,"[7.537163576642488, 8.374080678668744, 6.597289418237827, 5.021178560039935, 7.595831399328881]","[95, 67, 36, 23, 40]"
general monitoring,74.00551279854804,26.80582751330629,155,269,"[7.7285085987106985, 9.051092899143116, 8.147910323547457, 9.477390127548945, 0.13037228059484374]","[51, 94, 39, 25, 33]"
general monitoring,50.67317088596489,2.449433634815479,181,21,"[3.6757122010908727, 9.662748248670521, 1.0757080306770461, 8.016749010685547, 3.989495508553449]","[36, 96, 99, 42, 36]"
general monitoring,72.47750086559918,13.10982328947109,267,151,"[6.162955914371904, 1.622037344868773, 7.413317141108111, 5.535812314854991, 2.563129178797742]","[88, 78, 68, 16, 97]"
general monitoring,32.45241000922978,17.489790965476903,228,167,"[1.1717941777956298, 3.915983677414394, 3.47741239397802, 9.42010272410464, 0.20301984559626285]","[19, 12, 48, 10, 40]"
general monitoring,96.75616179799464,4.337128936737821,23,189,"[5.554740391545425, 0.6843919115343067, 0.05635602377832449, 0.28538673676230975, 0.5160860585141425]","[49, 33, 84, 91, 16]"
monitoring sunlight,73.92408209386738,11.121617005687867,253,131,"[4.444500570714542, 4.992475913060113, 5.294465000976954, 3.9208372490594434, 4.161252921650808]","[97, 29, 15, 75, 92]"
monitoring water level,75.77076256773877,84.55437183414327,126,156,"[9.874223992474988, 5.416981075041538, 2.891799020337389, 1.5228378554060218, 7.255963958582736]","[60, 96, 80, 74, 59]"
monitoring watering duration,99.13595176915638,84.85729109652769,187,148,"[1.29915366513629, 6.253325216577511, 7.717197056095271, 7.28696533268166, 4.052410212641101]","[82, 83, 55, 99, 76]"
monitoring sunlight duration,95.59077407601568,85.58752634266963,159,274,"[0.7475329520316931, 2.210201525921857, 8.257269426794917, 1.3368470431031754, 4.736469852914951]","[50, 95, 34, 80, 55]"
monitoring nutrients,16.505025091687497,89.49159206316664,295,279,"[3.354048177149205, 1.9587316744069205, 9.593749530095504, 5.458427920561996, 6.40473991956622]","[92, 83, 73, 23, 98]"
general monitoring,25.06690825536808,10.598746905476874,139,182,"[6.289701808195332, 4.839395150988434, 0.8505357145563319, 8.667046800416333, 4.858518544273714]","[99, 57, 75, 11, 23]"
general monitoring,50.93942168303942,78.65248472020919,73,218,"[5.983233516499775, 4.6735968124125815, 2.7745363673701973, 4.484337443126209, 9.019370354160152]","[36, 15, 76, 52, 87]"
general monitoring,70.79036661702881,54.29493875828172,195,123,"[3.0805226516626396, 4.9859574431797595, 3.3385667512351436, 2.6922850729957117, 3.025973263984799]","[60, 19, 64, 61, 57]"
general monitoring,80.18749217372807,16.145514038790775,70,136,"[3.7960296237435207, 8.63480637503215, 6.756614512410895, 9.925577221465938, 6.460244362986835]","[75, 29, 57, 56, 89]"
general monitoring,11.349072504876801,23.311000462448384,189,183,"[3.813073779138737, 7.0002158803598995, 1.8387068835908427, 0.1515499169660539, 4.582602921365687]","[30, 36, 71, 55, 38]"
monitoring sunlight,17.596572150873403,5.674135545460135,151,209,"[5.2510109084550685, 3.0316532130558302, 6.857447619411205, 7.137197144493051, 2.4284767527767004]","[39, 72, 42, 21, 20]"
monitoring water level,54.77534726150359,9.247603268616022,130,137,"[4.447530097856632, 8.225949254108215, 3.2790814735979845, 0.5030547189956569, 1.4701412108565248]","[26, 78, 52, 89, 57]"
monitoring watering duration,82.31927065459934,76.01734555616363,162,255,"[4.27544890367124, 5.837763983810152, 6.280993302811114, 1.7205769976189467, 1.1405574410475439]","[19, 50, 31, 63, 52]"
monitoring sunlight duration,69.2021127310508,17.893227172438564,248,110,"[9.382205663547104, 3.150936088101731, 0.7583541826128615, 2.2618068258222723, 2.8911505032470863]","[92, 39, 57, 14, 84]"
monitoring nutrients,74.67446479895479,16.44473812338717,204,242,"[4.22792832760247, 8.1377491707042, 9.715009510468143, 9.990062300820679, 4.722770810149499]","[70, 48, 77, 16, 37]"
general monitoring,14.772433908527239,70.29217989165211,107,184,"[8.784188385205315, 5.763056544972515, 2.700672248639714, 4.037266292290566, 8.953290609348677]","[82, 19, 40, 59, 96]"
general monitoring,81.84732282344561,92.69147793114647,68,270,"[9.15234480510745, 5.9893631512069785, 8.100965426557835, 6.546375619995949, 9.522255951959126]","[84, 41, 84, 46, 37]"
general monitoring,99.8337797598479,53.605250054443644,124,109,"[7.598958546653442, 5.827558544269184, 3.2991935198252653, 4.811311490379369, 4.240289136600502]","[82, 88, 72, 46, 42]"
general monitoring,89.35994341309207,31.616471083569564,49,214,"[3.9952066057835225, 9.89099645443612, 1.9964036625621573, 9.181239372082068, 9.986458921538848]","[26, 97, 40, 68, 84]"
general monitoring,17.246702535759795,73.61386654092047,60,139,"[0.7481401770484664, 9.066670228674468, 3.7145705663617825, 0.32522206271975995, 3.9860970301050758]","[88, 29, 14, 22, 62]"
monitoring sunlight,37.66912262726719,31.239918385258257,158,167,"[1.313927591277042, 9.69157856912274, 4.383435111829671, 9.298767286954233, 4.3234598619601785]","[24, 71, 59, 82, 38]"
monitoring water level,0.14505001365247017,10.112441465403855,32,162,"[2.1028597360269172, 2.0098383814300447, 9.246297219142875, 2.074622579353168, 8.051000777365296]","[93, 14, 94, 17, 55]"
monitoring watering duration,50.79801091171291,95.9696060767301,230,296,"[5.286932680720245, 4.369328018486116, 6.119965939589979, 2.3458823872733516, 6.852569647953116]","[90, 75, 14, 79, 69]"
monitoring sunlight duration,73.12880460020976,43.370956298090256,141,147,"[0.603390407652652, 0.5557387048183171, 7.5834260640679645, 7.087886428669926, 4.316423094644942]","[23, 11, 45, 91, 79]"
monitoring nutrients,14.075784477584374,4.929317882570938,101,12,"[4.356030575848401, 4.478831039368361, 8.48037310580193, 5.775394104921402, 9.295929595008976]","[64, 87, 17, 51, 59]"
general monitoring,66.71336804724871,57.17966997531756,68,25,"[1.9883642246515731, 1.308012059680408, 5.674878886099133, 7.580713209482793, 3.0168326286577263]","[67, 68, 57, 43, 80]"
general monitoring,65.99055798362238,76.51284149322031,169,205,"[1.2910004859421975, 1.928277632992338, 1.4654214406318666, 0.7923691308774761, 0.9663908193175186]","[73, 48, 31, 89, 18]"
general monitoring,64.18046491224256,85.35194627860338,20,146,"[9.273544617192425, 0.4757118819420525, 9.736310857846128, 5.121961884536192, 6.882307692907358]","[57, 88, 90, 90, 50]"
general monitoring,44.87970194282603,56.75897915369492,173,239,"[2.1587828537772435, 9.528983968302825, 7.517063997970427, 2.2355806398131426, 1.7592279882280815]","[79, 42, 62, 90, 55]"
general monitoring,1.8234046690373873,71.50647537914453,32,154,"[6.3975888240885945, 5.69192623996266, 6.965783994318015, 3.5165839763847817, 7.505603779766684]","[85, 47, 31, 78, 28]"
monitoring sunlight,21.96909621724492,2.2394687594458285,87,55,"[6.143404709655835, 2.76318267920861, 9.778804492678315, 3.2138849316779936, 0.19613437361452157]","[77, 47, 22, 70, 98]"
monitoring water level,23.92318195900228,38.84800228267197,107,86,"[5.858396942480959, 1.391357515810171, 0.19191658857436233, 3.1701425139788144, 2.1996484544282566]","[77, 98, 63, 18, 85]"
monitoring watering duration,90.77065894004164,1.0335656498007606,221,232,"[4.771476790470681, 2.240574738290664, 6.516766838425005, 5.34317757526586, 8.493118203005269]","[78, 29, 77, 92, 49]"
monitoring sunlight duration,18.85380317196359,37.28552084181034,58,256,"[3.5254055043709798, 9.320306942059094, 2.933058532350631, 2.1190751959654177, 9.33896532933286]","[89, 23, 38, 21, 51]"
monitoring nutrients,4.858461540002046,23.720634516945903,59,201,"[5.009943813390213, 8.22723476245639, 6.789532509661468, 5.494815802491935, 4.729644595947783]","[29, 55, 49, 35, 87]"
general monitoring,91.65199801100121,61.800838466549315,280,212,"[4.161842402699141, 7.677606949262664, 2.117210199313112, 8.051546980570441, 5.741697207679542]","[34, 65, 88, 93, 29]"
general monitoring,54.02739954759629,95.22322790815707,149,162,"[7.699874584111804, 3.3178495271036956, 6.414420524216378, 6.886994800051881, 4.51284171881415]","[21, 31, 91, 18, 66]"
general monitoring,17.114443888778265,18.556435871115973,80,147,"[1.5567006031642971, 9.074470872652043, 4.67803399472719, 1.3776674329112626, 0.0819002029059046]","[46, 27, 87, 65, 67]"
general monitoring,80.25234939055703,58.3237610363341,102,161,"[6.262136775981622, 0.6279764706893098, 9.656607009575426, 1.739732669884323, 8.61573906058095]","[80, 83, 29, 55, 69]"
general monitoring,56.91866445821976,26.875556064530258,89,292,"[6.442240245211826, 5.6118128195720685, 5.73300240760457, 4.2364779071412775, 6.279067373381886]","[68, 14, 96, 58, 87]"
monitoring sunlight,1.3199543934181213,80.64436373171135,200,112,"[1.1324844480863794, 0.3967502172829096, 5.200708934914173, 1.854289836072165, 7.679533205854047]","[37, 60, 42, 20, 66]"
monitoring water level,41.54632794874239,32.8164986871177,65,241,"[2.7449935326651245, 2.260302944791647, 5.936179322344853, 9.256873155596686, 3.840609833006956]","[64, 93, 76, 93, 78]"
monitoring watering duration,21.177197140800974,61.03882533588987,181,107,"[0.5976472877720529, 1.3294473796599526, 3.678030742601753, 1.5788674045128592, 8.013179608400756]","[22, 36, 16, 98, 18]"
monitoring sunlight duration,84.99332200132854,73.21549149854076,213,250,"[7.8904500952062975, 4.354959138645597, 6.202118248559728, 3.1686127221053786, 2.397613118363094]","[42, 50, 29, 79, 39]"
monitoring nutrients,45.64277368096478,62.10036279712957,192,29,"[8.704015929709737, 0.7635946613800781, 0.5642744698575664, 9.34891145451296, 8.831420228570302]","[45, 70, 66, 65, 100]"
general monitoring,5.773894851313377,92.82382181070955,71,227,"[3.3501119890607556, 8.932698057285043, 9.263020509558357, 9.010541502213568, 4.118936333440821]","[99, 21, 84, 60, 18]"
general monitoring,45.02585547326289,16.41408918706303,207,284,"[9.45373872006861, 8.968800251714978, 3.314793673832047, 3.1024790845963057, 2.323983429356027]","[69, 61, 14, 78, 85]"
general monitoring,78.53321732731379,35.297385723106764,56,289,"[7.321190192235876, 5.241236393029597, 9.90215701369253, 2.8820878653825166, 1.3275629829328306]","[86, 94, 91, 26, 96]"
general monitoring,81.0945537697051,81.87415386834078,152,227,"[6.925566093579944, 2.3545415781758496, 6.424846615450857, 4.785690215932128, 5.063650517410355]","[49, 65, 19, 86, 76]"
general monitoring,0.20993990119297923,73.32741711405079,90,181,"[8.903806606422531, 3.92938760007586, 8.381766742945088, 5.708349767791817, 7.08230364269229]","[64, 39, 67, 56, 58]"
monitoring sunlight,92.60566130212537,43.80690517336215,21,17,"[3.266864636352503, 4.125113926270697, 3.232831745851017, 9.809461524497788, 4.901907882106121]","[61, 87, 23, 25, 86]"
monitoring water level,82.84062801914587,52.72375956158094,262,201,"[2.5379011246691583, 6.423221954374624, 7.157118683847019, 7.97757919402955, 0.8240809532435334]","[59, 11, 12, 29, 94]"
monitoring watering duration,93.83736162394464,96.3470047125783,15,50,"[5.077090767856637, 1.4080843506699414, 1.3786716381220065, 4.770801453085073, 0.37656770510795856]","[17, 67, 70, 55, 93]"
monitoring sunlight duration,32.118094114594484,4.469867303202246,217,56,"[3.7657383757589056, 8.584150398295339, 1.7194920075060383, 3.7069591407332814, 8.855432827429219]","[38, 96, 57, 59, 99]"
monitoring nutrients,70.84816743969802,39.95252318331457,259,202,"[0.2758520137333287, 9.031924133994863, 7.496385814227551, 6.353655920420051, 6.952985607436845]","[31, 17, 19, 28, 97]"
general monitoring,63.47364457111797,25.882746042335402,144,274,"[2.500452103601174, 2.611400506263468, 9.284287971281746, 2.698213494809959, 8.095678088306897]","[23, 74, 15, 84, 16]"
general monitoring,2.9302939181618304,82.58526168718761,261,171,"[1.1517275349562361, 6.497786316094856, 6.938304191659913, 4.0198126937846705, 5.73493054935963]","[22, 33, 80, 68, 64]"
general monitoring,71.23865256503589,9.825286960358126,239,298,"[7.748368331765781, 5.829136230917131, 9.03613235322226, 0.3861681466360267, 6.960541886250727]","[71, 76, 70, 68, 35]"
general monitoring,34.720089628957766,0.18003725601656306,131,39,"[1.3835666085222742, 7.17597554426686, 7.92145390405905, 5.748689866378044, 0.5827430110153431]","[65, 62, 52, 48, 20]"
general monitoring,20.236226046182903,55.219423042916446,39,33,"[6.5566201846894865, 7.345698965271938, 6.651375779254707, 9.287960145698252, 5.880952179560985]","[66, 70, 68, 69, 92]"
monitoring sunlight,23.273365461377804,23.846298281514176,118,181,"[5.68223535195135, 3.7452433161911136, 6.835741954342371, 2.3087878394250017, 8.691894394543745]","[82, 25, 20, 63, 38]"
monitoring water level,85.70876207587425,90.77650398994437,175,21,"[3.8198567497328115, 1.9939589028800353, 3.487735186649432, 5.284701558438998, 2.530917899541205]","[28, 10, 38, 39, 38]"
monitoring watering duration,41.50441354626603,29.71977691479054,259,283,"[9.531184311361775, 2.094079234394189, 3.026948270637362, 2.150463285477986, 0.36596502422067356]","[23, 50, 44, 17, 51]"
monitoring sunlight duration,18.694198648002903,53.458354707799536,160,234,"[6.012836117615289, 8.456845915583326, 2.1482942976376265, 7.791653954298127, 9.854287329899]","[12, 35, 80, 64, 36]"
monitoring nutrients,21.02163979092908,29.132739573114318,211,292,"[8.492945489511754, 5.795305272539756, 5.1109330932611705, 1.0497979016942038, 5.3806669970637095]","[33, 85, 39, 36, 60]"
general monitoring,70.83857602137392,86.72254426404507,102,24,"[9.023915708297409, 2.392467868304525, 2.363180273113623, 2.195149241235288, 8.183623952032256]","[100, 76, 39, 27, 78]"
general monitoring,62.983976691505106,1.4654577657658319,95,57,"[4.453663669823337, 2.1387508613679342, 3.308776461744698, 5.208700887754539, 2.920584892335547]","[57, 27, 24, 28, 13]"
general monitoring,15.614802118466875,57.37593017349536,248,59,"[7.919280279373871, 2.3199140894942847, 4.294633369300299, 5.174227412233888, 9.878700904057208]","[33, 71, 26, 56, 11]"
general monitoring,86.39524235849353,22.457699720621548,248,287,"[9.718608115696586, 1.234796799301613, 5.507063887893464, 6.662897671245718, 0.5014267060683353]","[19, 50, 44, 33, 47]"
general monitoring,39.82167844622673,34.32113695502246,119,219,"[1.63456140048984, 6.525873866659197, 2.1751661026513935, 3.6890436126923545, 5.171043611589688]","[11, 56, 14, 41, 62]"
monitoring sunlight,56.29133282172707,12.399258354615462,184,252,"[9.329190696888192, 2.637294978237584, 8.345895276930785, 9.317722618959786, 7.449926672381018]","[13, 88, 91, 83, 18]"
monitoring water level,16.639147316470392,97.69678217630175,203,108,"[3.544286463638943, 1.3582762648030688, 5.544409187985386, 5.031453981101752, 7.796559050471084]","[92, 92, 31, 87, 29]"
monitoring watering duration,28.870231350553254,48.2156114804852,23,75,"[3.4131280612815385, 3.2816966694441554, 9.956374411568941, 2.65440561928616, 7.161928380037291]","[34, 50, 87, 41, 39]"
monitoring sunlight duration,2.2600803083068,29.555777220670354,38,170,"[3.667265585567583, 5.286339091163851, 2.0329017607264257, 0.9582726431398292, 7.48358425997469]","[29, 70, 34, 76, 51]"
monitoring nutrients,96.16366668000555,31.192089648397513,129,67,"[9.418387767554671, 5.511291649719015, 3.7225576237967073, 7.34539686293592, 7.79333934660274]","[52, 88, 20, 83, 35]"
general monitoring,96.96473857587817,10.34805125283993,146,181,"[0.21284165063390814, 5.980063829781059, 5.422351582854126, 0.10336248267490245, 6.539833900722306]","[82, 89, 75, 75, 100]"
general monitoring,74.9298903494644,27.874054835306627,211,63,"[4.087850979061374, 6.159201711731113, 3.5517493007716237, 4.741735097948766, 0.06220258321666838]","[52, 60, 97, 80, 87]"
general monitoring,34.821619828203985,91.80748509462337,201,285,"[6.001546855663764, 7.333526900642314, 8.242625196098315, 7.991665761295142, 5.619568726725578]","[76, 82, 97, 32, 98]"
general monitoring,68.95768151619053,32.180289102409496,288,257,"[8.055580364474665, 1.7825805737942957, 9.004925346445837, 2.923672580692911, 7.550425887841508]","[29, 28, 86, 23, 25]"
general monitoring,68.52537823634502,89.41498693657154,155,235,"[8.33324110865349, 7.250323397274199, 6.01711346201315, 1.8631358316829927, 7.743636666127154]","[43, 29, 96, 20, 21]"
monitoring sunlight,57.50028795374761,34.88781834162684,274,176,"[5.619262215508844, 8.233517510425392, 6.944512999253915, 4.009546959024888, 1.8801026748012206]","[77, 12, 81, 58, 23]"
monitoring water level,52.87223959124091,30.685756778939588,69,230,"[6.24799624432172, 6.705691319554083, 2.3896974884601487, 8.65187830956443, 0.8715137479955659]","[51, 31, 18, 27, 18]"
monitoring watering duration,17.625994162633717,66.7116016740624,181,163,"[9.708223198852563, 4.882987409293696, 0.30823576771302985, 9.963349571537217, 2.286502730448804]","[11, 90, 15, 26, 53]"
monitoring sunlight duration,92.98278787620443,8.453269529696538,49,74,"[5.602003736972372, 4.642700641174314, 4.736883622346092, 4.1208015761381525, 5.213863015297937]","[64, 21, 39, 15, 74]"
monitoring nutrients,7.503769287698381,81.611522143255,230,116,"[2.20466572047445, 2.9661560135980416, 7.471237391522782, 6.939802568455546, 8.138289754588305]","[12, 34, 19, 74, 75]"
general monitoring,53.63882019034805,34.29948600002408,277,201,"[7.891183577871955, 9.125302285768969, 9.131748322734527, 1.303921060146831, 0.32972414356606916]","[64, 31, 88, 44, 72]"
general monitoring,99.28552564188587,20.979909496308093,162,142,"[5.7871261761776545, 2.870788783704852, 1.1739328044099684, 7.277938260198951, 2.3708190014005304]","[22, 37, 42, 82, 30]"
general monitoring,67.23235610790765,29.759241999376982,254,46,"[4.440379206439867, 1.1561685232960206, 1.6423787293247183, 6.48660611838007, 0.2028611329190455]","[67, 65, 36, 60, 30]"
general monitoring,9.827889189061345,66.6387054260018,138,62,"[9.745573633862119, 2.813338241380159, 8.886396158990557, 6.503971872540362, 5.4826670344320005]","[35, 65, 45, 73, 63]"
